"","x"
"1995",704424
"1996",704407
"1997",704406
"1998",704376
"1999",704375
"2000",703223
"2001",703222
"2002",703221
"2003",703220
"2004",703219
"2005",703218
"2006",703217
"2007",703216
"2008",703214
"2009",703213
"2010",703212
"2011",703211
"2012",703209
"2013",703208
"2014",703207
"2015",703206
"2016",703205
"2017",703204
"2018",703203
"2019",703202
"2020",703201
"2021",703200
"2022",703199
"2023",703198
"2024",703197
"2025",703196
"2026",702797
"2027",702793
"2028",702792
"2029",702791
"2030",702790
"2031",702789
"2032",702788
"2033",702787
"2034",702786
"2035",702785
"2036",702784
"2037",702783
"2038",702750
"2039",702749
"2040",702622
"2041",702621
"2042",702022
"2043",702020
"2044",702019
"2045",702018
"2046",702017
"2047",702016
"2048",702015
"2049",702014
"2050",702011
"2051",701642
"2052",701641
"2053",701640
"2054",701639
"2055",701638
"2056",701637
"2057",701636
"2058",701635
"2059",701634
"2060",701633
"2061",701632
"2062",701631
"2063",701630
"2064",701629
"2065",701628
"2066",701627
"2067",701626
"2068",701625
"2069",701624
"2070",701623
"2071",701622
"2072",701621
"2073",701620
"2074",701619
"2075",701336
"2076",701009
"2077",701008
"2078",701007
"2079",701006
"2080",701005
"2081",700891
"2082",700890
"2083",700889
"2084",700888
"2085",700777
"2086",700776
"2087",700775
"2088",700774
"2089",700773
"2090",700772
"2091",700771
"2092",700770
"2093",700769
"2094",700768
"2095",700767
"2096",700766
"2097",700765
"2098",700764
"2099",700763
"2100",700762
"2101",700761
"2102",700760
"2103",700759
"2104",700758
"2105",700757
"2106",700756
"2107",700755
"2108",700754
"2109",700753
"2110",700752
"2111",700749
"2112",700748
"2113",700747
"2114",700746
"2115",700745
"2116",700744
"2117",700743
"2118",700742
"2119",700741
"2120",700740
"2121",700739
"2122",700738
"2123",700737
"2124",700735
"2125",700734
"2126",700733
"2127",700732
"2128",700731
"2129",700730
"2130",700729
"2131",700728
"2132",700727
"2133",700726
"2134",700725
"2135",700724
"2136",700723
"2137",700721
